id,age,gender,edu_level,race,family_status,ratio_to_poverty,lang_interview
109469,3,Male,NA,Black,NA,1.49,English
109470,1,Female,NA,Black,NA,1.02,English
109471,14,Male,NA,Other Hispanic,NA,2.6,English
109472,34,Male,5,Mexican American,Living with Partner,3.52,English
109473,19,Male,NA,White,NA,NA,English
109475,9,Male,NA,Mexican American,NA,1.91,Spanish
109476,8,Female,NA,Missing,NA,0.84,English
109477,6,Female,NA,Black,NA,4.27,English
109478,27,Female,4,White,Living with Partner,5,English
109479,17,Male,NA,Mexican American,NA,0.55,English
109480,30,Male,4,Black,Other,1.11,English
109481,60,Male,5,Other Hispanic,Living with Partner,1.39,Spanish
109482,48,Female,5,White,Living with Partner,5,English
109483,76,Female,3,White,Living with Partner,NA,English
109484,3,Female,NA,Black,NA,0.05,English
109485,47,Female,5,Other Hispanic,Other,4.18,English
109486,65,Male,5,Other Hispanic,Living with Partner,5,English
109487,0,Male,NA,Black,NA,2.11,English
109488,40,Male,4,Black,Living with Partner,1.63,English
109490,77,Male,1,Black,Living with Partner,NA,English
109491,0,Female,NA,Mexican American,NA,1.11,English
109492,9,Male,NA,Black,NA,0.66,English
109493,8,Male,NA,Black,NA,2.37,English
109494,5,Female,NA,Other,NA,0.98,English
109495,52,Male,3,White,Living with Partner,5,English
109496,50,Male,4,White,Living with Partner,5,English
109497,48,Female,3,Black,Other,1.04,English
109498,0,Male,NA,White,NA,5,English
109499,17,Female,NA,White,NA,5,English
109501,45,Male,5,Mexican American,Living with Partner,5,English
109502,29,Female,4,Mexican American,Living with Partner,2.38,English
109503,71,Male,3,White,Other,5,English
109504,53,Male,4,Black,Living with Partner,3.55,English
109505,60,Female,4,Black,Other,2.26,English
109506,7,Male,NA,Other,NA,5,English
109507,16,Female,NA,Missing,NA,0.33,English
109508,39,Female,5,White,Living with Partner,5,English
109509,2,Male,NA,Black,NA,NA,English
109510,28,Male,5,Other,Other,NA,English
109511,13,Male,NA,Black,NA,1.24,English
109512,42,Male,5,Black,Living with Partner,5,English
109513,48,Female,5,White,Living with Partner,5,English
109514,12,Male,NA,Black,NA,0.66,English
109515,1,Male,NA,Mexican American,NA,0.87,English
109516,0,Male,NA,Black,NA,0.3,English
109517,1,Male,NA,Mexican American,NA,0.63,Spanish
109518,25,Female,5,Other,Other,4.78,English
109519,55,Male,4,Black,Other,1.6,English
109521,4,Male,NA,Black,NA,0.01,English
109522,1,Male,NA,White,NA,5,English
109523,77,Female,3,White,Other,2.88,English
109524,16,Female,NA,Other Hispanic,NA,NA,Spanish
109525,24,Male,4,Other,Other,NA,English
109526,31,Female,5,Black,Other,NA,English
109527,69,Female,5,Black,Other,4.26,English
109528,17,Male,NA,Black,NA,1.69,English
109529,4,Male,NA,White,NA,1.7,English
109530,49,Female,3,Mexican American,Living with Partner,1.78,Spanish
109531,32,Male,5,Other,Living with Partner,NA,English
109532,70,Male,4,White,Living with Partner,3.9,English
109534,77,Female,1,Black,Other,0.91,English
109536,48,Female,5,White,Living with Partner,5,English
109538,66,Female,2,White,Other,0.95,English
109539,19,Female,NA,White,NA,0.99,English
109540,9,Female,NA,Black,NA,0.98,English
109541,35,Female,4,Black,Other,1.9,English
109542,18,Female,NA,Mexican American,NA,1.41,English
109543,1,Female,NA,Missing,NA,0,English
109544,76,Female,1,White,Other,0.4,English
109545,36,Female,3,Other,Living with Partner,NA,English
109546,2,Male,NA,Black,NA,1.34,English
109547,5,Female,NA,White,NA,1.7,English
109548,25,Female,5,Black,Other,4.61,English
109549,22,Male,4,White,Other,3.52,English
109550,64,Female,5,White,Living with Partner,1.85,English
109551,65,Male,1,Missing,Other,NA,English
109552,74,Male,4,White,Other,3.48,English
109553,9,Female,NA,Black,NA,0.18,English
109554,21,Male,3,Black,Other,0.96,English
109555,22,Female,4,Other,Living with Partner,2.4,English
109556,15,Female,NA,Other Hispanic,NA,5,English
109557,17,Male,NA,Other,NA,0.2,English
109558,57,Male,3,White,Living with Partner,4.64,English
109559,2,Female,NA,White,NA,1.11,English
109560,34,Male,5,Mexican American,Living with Partner,NA,English
109563,36,Female,4,Mexican American,Living with Partner,3.04,English
109564,19,Male,NA,White,NA,0.5,English
109566,11,Male,NA,Mexican American,NA,0.8,English
109567,49,Male,4,White,Living with Partner,5,English
109568,32,Female,4,Black,Living with Partner,0.9,English
109569,7,Male,NA,White,NA,3.56,English
109570,78,Female,3,White,Other,2.6,English
109571,28,Female,4,Missing,Other,0.66,English
109572,12,Female,NA,White,NA,0.83,English
109573,1,Female,NA,Black,NA,0.11,English
109574,55,Female,5,Other,Living with Partner,5,English
109575,5,Female,NA,White,NA,3.52,English
109576,11,Female,NA,Other Hispanic,NA,1.42,English
109577,74,Female,1,Other Hispanic,Other,NA,Spanish
109579,42,Female,4,White,Living with Partner,1.06,English
109580,39,Female,2,Black,Living with Partner,2.22,English
109581,43,Male,3,White,Living with Partner,1.02,English
109582,14,Male,NA,White,NA,5,English
109583,2,Female,NA,Mexican American,NA,NA,Spanish
109584,9,Male,NA,White,NA,1.49,English
109585,20,Male,2,Black,Other,3.4,English
109587,74,Female,2,White,Living with Partner,5,English
109588,71,Male,3,White,Living with Partner,3.65,English
109589,13,Female,NA,Black,NA,2.2,English
109590,37,Male,3,Black,Other,NA,English
109591,68,Male,1,Mexican American,Living with Partner,0.49,Spanish
109592,62,Female,2,Mexican American,Living with Partner,NA,Spanish
109593,52,Male,1,Missing,Living with Partner,0.58,English
109594,79,Male,2,White,Living with Partner,1.23,English
109595,5,Female,NA,White,NA,2.59,English
109596,4,Male,NA,Black,NA,1.18,English
