iso,year,cell
COL,2013,108.978
COL,2014,118.823
COL,2015,122.051
COL,2016,123.71
COL,2017,129.272
COL,2018,131.595
COL,2019,132.811
COL,2020,133.661
COL,2021,146.628
COL,2022,156.195
COM,2003,0.351
COM,2004,1.44273
COM,2005,2.61913
COM,2006,6.09786
COM,2007,10.0667
COM,2008,14.5781
COM,2009,19.0975
COM,2010,25.2396
COM,2011,32.3982
COM,2012,41.5931
COM,2013,49.9144
COM,2014,53.8297
COM,2015,58.4556
COM,2016,61.2598
COM,2017,61.9708
COM,2018,64.6591
COM,2019,73.1292
COM,2020,97.4339
COM,2021,104.311
COM,2022,100.549
CPV,2003,11.2683
CPV,2004,13.7222
CPV,2005,16.8457
CPV,2006,22.183
CPV,2007,30.6762
CPV,2008,55.3839
CPV,2009,57.419
CPV,2010,72.9468
CPV,2011,77.5113
CPV,2012,83.0757
CPV,2013,97.5075
CPV,2014,119.724
CPV,2015,119.336
CPV,2016,117.442
CPV,2017,119.374
CPV,2018,118.876
CPV,2019,115.868
CPV,2020,105.839
CPV,2021,114.231
CPV,2022,113.247
CRI,2003,18.805
CRI,2004,21.9778
CRI,2005,25.8447
CRI,2006,33.409
CRI,2007,34.4323
CRI,2008,42.4898
CRI,2009,43.3424
CRI,2010,68.6655
CRI,2011,90.0915
CRI,2012,115.312
CRI,2013,150.801
CRI,2014,147.267
CRI,2015,156.404
CRI,2016,171.166
CRI,2017,179.931
CRI,2018,171.357
CRI,2019,146.212
CRI,2020,149.223
CRI,2021,154.831
CRI,2022,154.989
CUB,2003,0.31541
CUB,2004,0.67443
CUB,2005,1.2034
CUB,2006,1.35403
CUB,2007,1.75642
CUB,2008,2.93786
CUB,2009,5.49953
CUB,2010,8.87827
CUB,2011,11.6368
CUB,2012,14.8776
CUB,2013,17.6639
CUB,2014,22.4243
CUB,2015,29.5816
CUB,2016,35.3989
CUB,2017,41.0193
CUB,2018,47.8602
CUB,2019,53.9383
CUB,2020,59.6059
CUB,2021,63.8661
CUB,2022,68.718
CYP,2003,76.3248
CYP,2004,89.8
CYP,2005,105.175
CYP,2006,114.499
CYP,2007,127.294
CYP,2008,127.587
CYP,2009,119.341
CYP,2010,123.133
CYP,2011,126.56
CYP,2012,128.298
CYP,2013,128.161
CYP,2014,131.145
CYP,2015,130.982
CYP,2016,132.637
CYP,2017,136.172
CYP,2018,137.045
CYP,2019,139.994
CYP,2020,138.388
CYP,2021,145.992
CYP,2022,151.241
CZE,2003,94.7289
CZE,2004,105.078
CZE,2005,114.55
CZE,2006,120.395
CZE,2007,127.967
