imdb_id,title,year,language,genre,director,writer,country,imdb_votes,rating_imdb,rating_rt,rating_mc,runtime_raw,wikipedia_pageid,wikipedia_description,wikipedia_extract,budget_raw,box_office_raw
tt0074883,Mistress,1976,French,Drama|Romance,Barbet Schroeder,Barbet Schroeder|Paul Voujargol,France,2531,6.5,88,,112,460291,1975 film by Barbet Schroeder,"Maîtresse is a 1975 French erotic drama film co-written and directed by Barbet Schroeder, starring Bulle Ogier and, in one of his earliest leading roles, Gérard Depardieu. The film provoked controversy in the United Kingdom and the United States due to its graphic depictions of BDSM.",,
tt0074901,Mikey and Nicky,1976,English|Hebrew,Crime|Drama,Elaine May,Elaine May,United States,7770,7.3,88,81,106,3446656,1976 American neo-noir film,"Mikey and Nicky is a 1976 American crime drama film written and directed by Elaine May. It stars John Cassavetes as desperate small-time mobster Nicky Godolin and Peter Falk as his longtime friend Mikey Mittner. The supporting cast features Ned Beatty, Carol Grace, Rose Arrick and noted acting teacher Sanford Meisner.",4300000,
tt0074916,Mr. Klein,1976,French,Crime|Drama|Mystery,Joseph Losey,Franco Solinas|Fernando Morandi|Costa-Gavras,France|Italy,9807,7.5,,,123,5311630,1976 film directed by Joseph Losey,"Monsieur Klein is a 1976 mystery drama film directed by Joseph Losey, produced by and starring Alain Delon in the title role. Set in occupied France, the Kafkaesque narrative follows an apparently Gentile Parisian art dealer who is seemingly mistaken for a Jewish man of the same name and targeted in the Holocaust, unable to prove his identity.",,
tt0074958,Network,1976,English,Drama,Sidney Lumet,Paddy Chayefsky,United States,176692,8.1,91,83,121,101935,1976 film directed by Sidney Lumet,"Network is a 1976 American satirical comedy drama film directed by Sidney Lumet and written by Paddy Chayefsky. It depicts a television network struggling with poor ratings until the nightly live broadcast of its longtime news anchor Howard Beale inadvertently showcases his breakdown into increasingly psychotic behaviour, which makes his show a surprise hit. Alongside Finch, the film stars Faye Dunaway, William Holden, Robert Duvall, Wesley Addy, Ned Beatty, and Beatrice Straight.",3800000,23689877
tt0075122,The Colours,1976,Persian,Documentary|Short,Abbas Kiarostami,Abbas Kiarostami,Iran,397,6.2,,,15,9308455,1976 Iranian film,The Colours is a 1976 Iranian short film directed by Abbas Kiarostami.,,
tt0076452,News from Home,1976,French,Documentary,Chantal Akerman,Chantal Akerman,Belgium|France|West Germany,3030,7.3,100,,89,29932707,1976 film by Chantal Akerman,News from Home is a 1976 avant-garde documentary film directed by Chantal Akerman. The film consists of long takes of locations in New York City set to Akerman's voice-over as she reads letters that her mother sent her between 1971 and 1973 when Akerman lived in the city.,,
tt0077740,Insiang,1976,Filipino|Tagalog|English,Drama,Lino Brocka,Mario O'Hara|Lamberto E. Antonio,Philippines,2313,7.5,100,,95,19297713,1976 Filipino film,"Insiang is a 1976 Philippine drama film directed by Lino Brocka. Its screenplay, written by Mario O'Hara and Lamberto E. Antonio, is based on O'Hara's teleplay of the same name. Set in the slums of Tondo, Manila, the film stars Hilda Koronel as the eponymous character: the young daughter of a resentful mother, whose much-younger lover rapes her. After her assault and the betrayal of her own lover, Insiang seeks revenge. A representation of urban poverty, the film explores themes of betrayal, revenge and despair.",,
tt0131335,Canoa: A Shameful Memory,1976,Spanish|Nahuatl,Adventure|Crime|Drama,Felipe Cazals,Tomás Pérez Turrent,Mexico,1942,7.8,86,,115,28058339,1976 film,"Canoa: A Shameful Memory is a 1976 Mexican drama film directed by Felipe Cazals, based upon the San Miguel Canoa Massacre.",,
tt0318069,Chess of the Wind,1976,Persian,Drama|Mystery|Thriller,Mohammad Reza Aslani,Mohammad Reza Aslani,Iran,1862,7.3,100,94,99,67072260,1976 Iranian film by Mohammad Reza Aslani,"Chess of the Wind, also titled The Chess Game of the Wind, is a 1976 Iranian film written and directed by Mohammad Reza Aslani. The film was screened only once before the 1979 revolution in Iran and was roundly condemned by film critics for its violence and homosexual themes, leading to an official ban by the Iranian government. The negative and all prints were thought to have been destroyed. The film negative was rediscovered by the director's children 38 years later in 2014, for sale in a Tehran junk shop. After an extensive restoration the film was re-released in 2020 to wide acclaim.",,
tt0074190,"Baxter, Vera Baxter",1977,French,Drama|Music|Mystery,Marguerite Duras,Marguerite Duras,France,704,6.0,,,91,42074586,1977 film by Marguerite Duras,"Baxter, Vera Baxter is a 1977 French drama film written and directed by Marguerite Duras, based on her then-unpublished novel Vera Baxter ou les Plages de l'Atlantique.",,
